Placement,Origin,Destination,Advertiser Origin,Advertiser Destination,Average CPC (USD),Average Rank,First Rank Bid (USD),Third Rank Bid (USD),6th Rank Bid (USD),9th Rank Bid (USD),Est. Clicks,Est. Impressions,Est. Spend (USD)
FlyDealFarePanelMOW_US_FPCMP2,BOS,BOM,BOS,BOM,1.21,2,1.22,1.22,1.22,1.22,0,1,0
FlyDealFarePanelM_US_FPCMP2,NYC,GAU,NYC,GAU,1,1,1,1.01,1.01,1.01,0,1,0
FlyDealFarePanelM_US_FPCMP2,DEL,USA,DEL,USA,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelD_US_FPCMP2,BOM,LAS,BOM,LAS,0.55,3,1.02,0.56,0.56,0.56,0,1,0
FlyDealFarePanelM_US_FPCMP2,ATL,MAA,ATL,MAA,1,2,1.22,1.01,1.01,1.01,0,6,0
FlyDealFarePanelD_US_FPCMP2,HYD,DFW,HYD,DFW,0.55,4,1.02,0.65,0.56,0.56,0,1,0
FlyDealFarePanelM_US_FPCMP2,BWI,BDQ,BWI,BDQ,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,BOS,DEL,BOS,DEL,1.21,2.09,1.51,1.22,1.22,1.22,1,12,1.21
FlyDealFarePanelM_US_FPCMP2,CCU,ORD,CCU,ORD,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelM_US_FPCMP2,SDF,HYD,SDF,HYD,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelM_US_FPCMP2,MAA,MIA,MAA,MIA,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,AMD,NYC,AMD,NYC,0.25,1.5,0.38,0.26,0.26,0.26,0,2,0
FlyDealFarePanelD_US_FPCMP2,JFK,TRV,JFK,TRV,0.95,4.07,1.09,1.01,0.96,0.96,0,2,0
FlyDealFarePanelM_US_FPCMP2,BOM,SNP,BOM,SNP,0.45,1,0.45,0.46,0.46,0.46,1,1,0.45
FlyDealFarePanelDOW_US_FPCMP2,SNA,DEL,SNA,DEL,1.2,1,1.2,1.21,1.21,1.21,0,1,0
FlyDealFarePanelM_US_FPCMP2,NYC,BDQ,NYC,BDQ,1,1,1,1.01,1.01,1.01,1,6,1
FlyDealFarePanelM_US_FPCMP2,DEL,WAS,DEL,WAS,0.45,3.44,0.67,0.61,0.46,0.46,0,4,0
FlyDealFarePanelMOW_US_FPCMP2,HOU,VGA,HOU,VGA,0.75,2,1.22,0.76,0.76,0.76,0,3,0
FlyDealFarePanelDOW_US_FPCMP2,SFO,BLR,SFO,BLR,1.2,1,1.2,1.21,1.21,1.21,1,1,0.6
FlyDealFarePanelM_US_FPCMP2,BOS,STV,BOS,STV,1,2,1.22,1.01,1.01,1.01,1,1,1
FlyDealFarePanelDOW_US_FPCMP2,MAA,SEA,MAA,SEA,0.3,3,1.02,0.31,0.31,0.31,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,CLT,BHO,CLT,BHO,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelM_US_FPCMP2,AIN,BOM,AIN,BOM,1,1,1,1.01,1.01,1.01,1,2,1
FlyDealFarePanelM_US_FPCMP2,MLK,HYD,MLK,HYD,1,1,1,1.01,1.01,1.01,0,1,0
FlyDealFarePanelM_US_FPCMP2,HYD,DEN,HYD,DEN,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelM_US_FPCMP2,DEL,NYC,DEL,NYC,0.45,1,0.45,0.46,0.46,0.46,1,3,0.45
FlyDealFarePanelDOW_US_FPCMP2,BOS,BLR,BOS,BLR,1.2,1,1.2,1.21,1.21,1.21,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,PDX,HYD,PDX,HYD,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelM_US_FPCMP2,FAT,DEL,FAT,DEL,1,2,1.22,1.01,1.01,1.01,1,3,1
FlyDealFarePanelM_US_FPCMP2,AMD,NYC,AMD,NYC,0.45,1,0.45,0.46,0.46,0.46,1,1,0.45
FlyDealFarePanelMOW_US_FPCMP2,IAD,DEL,IAD,DEL,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelD_US_FPCMP2,LAX,VGA,LAX,VGA,0.95,2,1.02,0.96,0.96,0.96,0,6,0
FlyDealFarePanelM_US_FPCMP2,MAA,EWR,MAA,EWR,0.45,2,1.22,0.46,0.46,0.46,0,3,0
FlyDealFarePanelD_US_FPCMP2,SAN,DEL,SAN,DEL,0.95,3,1.02,0.96,0.96,0.96,0,1,0
FlyDealFarePanelM_US_FPCMP2,CHI,VTZ,CHI,VTZ,1,1,1,1.01,1.01,1.01,1,2,1
FlyDealFarePanelDOW_US_FPCMP2,NYC,PNQ,NYC,PNQ,1.2,1,1.2,1.21,1.21,1.21,0,1,0
FlyDealFarePanelM_US_FPCMP2,EWR,BDQ,EWR,BDQ,1,2.22,1.22,1.01,1.01,1.01,0,11,0
FlyDealFarePanelD_US_FPCMP2,EWR,DEL,EWR,DEL,1.17,1.4,4.1,1.18,1.18,1.18,1,5,1.17
FlyDealFarePanelMOW_US_FPCMP2,LAX,BLR,LAX,BLR,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelM_US_FPCMP2,SMF,DEL,SMF,DEL,1,2,1.22,1.01,1.01,1.01,0,4,0
FlyDealFarePanelMOW_US_FPCMP2,EWR,BDQ,EWR,BDQ,0.75,2,1.22,0.76,0.76,0.76,0,1,0
